iter	Passed	Remaining
744	35706	12221
745	35755	12174
746	35802	12125
747	35849	12077
748	35898	12029
749	35945	11981
750	35993	11933
751	36038	11884
752	36086	11837
753	36136	11789
754	36183	11741
755	36233	11694
756	36281	11646
757	36328	11598
758	36377	11550
759	36425	11502
760	36473	11454
761	36523	11407
762	36570	11359
763	36618	11311
764	36667	11263
765	36716	11216
766	36763	11168
767	36811	11120
768	36855	11071
769	36901	11022
770	36950	10975
771	36998	10927
772	37046	10879
773	37094	10831
774	37142	10783
775	37191	10735
776	37235	10686
777	37284	10639
778	37332	10591
779	37380	10543
780	37428	10495
781	37476	10447
782	37525	10399
783	37572	10351
784	37619	10303
785	37663	10254
786	37712	10206
787	37760	10158
788	37809	10111
789	37853	10062
790	37902	10014
791	37947	9966
792	37995	9918
793	38042	9869
794	38088	9821
795	38136	9773
796	38184	9725
797	38231	9677
798	38279	9629
799	38327	9581
800	38375	9533
801	38424	9486
802	38471	9438
803	38519	9390
804	38565	9341
805	38612	9293
806	38659	9245
807	38707	9197
808	38756	9150
809	38804	9102
810	38852	9054
811	38897	9005
812	38945	8958
813	38993	8910
814	39042	8862
815	39093	8815
816	39141	8767
817	39188	8719
818	39235	8671
819	39283	8623
820	39334	8575
821	39384	8528
822	39434	8480
823	39483	8433
824	39529	8385
825	39578	8337
826	39625	8289
827	39672	8241
828	39719	8193
829	39769	8145
830	39817	8097
831	39866	8049
832	39913	8001
833	39961	7953
834	40008	7905
835	40056	7857
836	40110	7811
837	40158	7763
838	40205	7715
839	40253	7667
840	40301	7619
841	40349	7571
842	40399	7524
843	40447	7476
844	40496	7428
845	40544	7380
846	40592	7332
847	40639	7284
848	40687	7236
849	40737	7188
850	40785	7141
851	40833	7093
852	40882	7045
853	40930	6997
854	40982	6950
855	41031	6902
856	41078	6854
857	41126	6806
858	41174	6758
859	41221	6710
860	41268	6662
861	41316	6614
862	41363	6566
863	41410	6518
864	41458	6470
865	41507	6422
866	41555	6374
867	41602	6326
868	41650	6278
869	41698	6230
870	41748	6183
871	41797	6135
872	41845	6087
873	41894	6039
874	41940	5991
875	41988	5943
876	42035	5895
877	42084	5847
878	42132	5799
879	42179	5751
880	42226	5703
881	42273	5655
882	42319	5607
883	42367	5559
884	42415	5511
885	42463	5463
886	42511	5415
887	42558	5367
888	42606	5319
889	42654	5271
890	42701	5223
891	42748	5175
892	42795	5127
893	42843	5079
894	42890	5031
895	42938	4983
896	42984	4935
897	43033	4887
898	43080	4840
899	43127	4791
900	43174	4743
901	43220	4695
902	43268	4647
903	43316	4600
904	43364	4552
905	43413	4504
906	43460	4456
907	43510	4408
908	43556	4360
909	43604	4312
910	43652	4264
911	43701	4216
912	43749	4168
913	43798	4121
914	43847	4073
915	43895	4025
916	43943	3977
917	43991	3929
918	44038	3881
919	44086	3833
920	44134	3785
921	44181	3737
922	44228	3689
923	44275	3641
924	44321	3593
925	44369	3545
926	44417	3497
927	44466	3449
928	44512	3401
929	44559	3353
930	44606	3305
931	44654	3258
932	44701	3210
933	44747	3162
934	44797	3114
935	44845	3066
936	44893	3018
937	44941	2970
938	44988	2922
939	45036	2874
940	45086	2826
941	45133	2778
942	45180	2730
943	45229	2683
944	45279	2635
945	45324	2587
946	45374	2539
947	45421	2491
948	45468	2443
949	45514	2395
950	45560	2347
951	45613	2299
952	45663	2252
953	45711	2204
954	45758	2156
955	45806	2108
956	45854	2060
957	45901	2012
958	45948	1964
959	45995	1916
960	46044	1868
961	46091	1820
962	46139	1772
963	46187	1724
964	46235	1676
965	46284	1629
966	46330	1581
967	46379	1533
968	46427	1485
969	46476	1437
970	46518	1389
971	46567	1341
972	46615	1293
973	46663	1245
974	46711	1197
